"Age" "Educ" "Hours" "Sex" "TVHours" "Happy" "MEduc" "FEduc" "Marital" "Sibs" "Work" "Zodiac" "Income"
19 11 64 "Female" 8 "Not Too Happy" 12 12 "Never Married" 2 "School" "Cancer" 7500
22 14 40 "Male" 3 "Pretty Happy" 12 10 "Never Married" 5 "Fulltime" "Capricorn" 32500
37 18 50 "Male" 2 "Very Happy" 12 10 "Married" 2 "Fulltime" "Virgo" 55000
51 18 65 "Male" 1 "Pretty Happy" 12 10 "Married" 2 "Fulltime" "Aries" 110000
52 20 40 "Female" 0 "Not Too Happy" 12 8 "Never Married" 4 "Fulltime" "Aries" 45000
23 14 20 "Male" 2 "Pretty Happy" 20 12 "Never Married" 2 "Parttime" "Cancer" 110000
40 20 50 "Male" 2 "Very Happy" 18 18 "Never Married" 5 "Fulltime" "Scorpio" 110000
36 14 40 "Female" 8 "Not Too Happy" 12 12 "Married" 5 "Fulltime" "Capricorn" 27500
23 14 40 "Female" 1 "Very Happy" 12 12 "Never Married" 1 "Fulltime" "Cancer" 37500
47 13 15 "Female" 2 "Very Happy" 8 13 "Married" 5 "Fulltime" "Scorpio" 37500
80 11 39 "Female" 4 "Very Happy" 8 8 "Married" 7 "Retired" "Cancer" 18750
61 20 45 "Male" 4 "Pretty Happy" 12 11 "Never Married" 4 "Fulltime" "Leo" 55000
53 19 50 "Male" 1 "Very Happy" 12 12 "Divorced" 1 "Fulltime" "Scorpio" 37500
51 14 27 "Female" 2 "Very Happy" 12 12 "Divorced" 2 "Parttime" "Virgo" 18750
38 12 40 "Male" 3 "Very Happy" 12 12 "Married" 1 "Fulltime" "Pisces" 16250
50 17 40 "Male" 3 "Not Too Happy" 12 10 "Divorced" 7 "Fulltime" "Pisces" 67500
45 12 12 "Female" 2 "Very Happy" 11 12 "Married" 4 "Parttime" "Scorpio" 45000
32 13 22 "Female" 2 "Very Happy" 12 12 "Married" 2 "Parttime" "Libra" 1e+05
18 11 16 "Female" 0 "Pretty Happy" 12 12 "Never Married" 1 "Parttime" "Pisces" 1e+05
37 14 40 "Male" 3 "Very Happy" 12 13 "Married" 4 "Fulltime" "Aquarius" 55000
28 12 45 "Male" 6 "Pretty Happy" 12 12 "Never Married" 4 "Fulltime" "Scorpio" 18750
31 16 40 "Female" 3 "Very Happy" 16 20 "Married" 2 "Fulltime" "Scorpio" 67500
33 18 61 "Female" 2 "Very Happy" 12 12 "Married" 2 "Housekeeping" "Aquarius" 67500
38 14 45 "Male" 3 "Pretty Happy" 8 6 "Divorced" 8 "Fulltime" "Capricorn" 55000
49 14 50 "Male" 3 "Pretty Happy" 8 12 "Married" 3 "Fulltime" "Libra" 55000
37 18 55 "Female" 0 "Very Happy" 14 15 "Married" 1 "Fulltime" "Libra" 82500
61 13 55 "Male" 3 "Very Happy" 3 12 "Married" 3 "Fulltime" "Leo" 27500
47 12 48 "Male" 3 "Pretty Happy" 8 12 "Divorced" 4 "Fulltime" "Aquarius" 45000
22 15 25 "Male" 1 "Pretty Happy" 15 10 "Never Married" 1 "Parttime" "Aquarius" 82500
26 14 40 "Male" 1 "Pretty Happy" 16 14 "Never Married" 1 "Fulltime" "Taurus" 23750
